SAISON;Discipline;Rang National;Rang comité régional;Statut équipe;Sexe équipe;Arme équipe;Catégorie de classement;Département;Nom Club/Cie Ville;Score 1;Score 2;Score 3;Score Equipe
2025;TAE;44;1;;X;CL;Jeune Mixte 2025;49;CIE DES ARCHERS DU S.O CANDEEN - CANDE;595;493;410;1498
2025;TAE;48;2;;X;CL;Jeune Mixte 2025;85;LES ARCHERS MONTOIS - SAINT JEAN DE MONTS;518;507;457;1482
2025;TAE;57;3;;X;CL;Jeune Mixte 2025;85;TIR ARC FONTENAISIEN - FONTENAY LE COMTE;526;518;383;1427
2025;TAE;65;4;;X;CL;Jeune Mixte 2025;72;CIE ARCHERS DU BELINOIS - LAIGNÉ SAINT GERVAIS;577;480;330;1387
2025;TAE;90;5;;X;CL;Jeune Mixte 2025;49;C.O.AJAX DE DAUMERAY - DAUMERAY;527;483;135;1145
2025;TAE;96;6;;X;CL;Jeune Mixte 2025;85;L'ARCHER CLUB D'AIZENAY - AIZENAY;509;407;161;1077
2025;TAE;102;7;;X;CL;Jeune Mixte 2025;44;ARCHERS D'ORVAULT - ORVAULT;484;458;82;1024
2025;TAE;111;8;;X;CL;Jeune Mixte 2025;44;ARCHERS THOUAREENS - THOUARE SUR LOIRE;475;422;53;950
2025;TAE;121;9;;X;CL;Jeune Mixte 2025;44;ARCHERS DE L'ERDRE - CARQUEFOU;253;251;249;753
2025;TAE;22;1;;H;CL;U18/U21 Garçon 2025;49;CIE DES ARCHERS DU S.O CANDEEN - CANDE;605;559;549;1713
2025;TAE;50;2;;H;CL;U18/U21 Garçon 2025;85;LES ARCHERS DE LA DIGUE - MONTAIGU;541;538;122;1201
2025;TAE;33;1;D2;H;CL;Arc Classique Homme 2025;44;ARCHERS DE L'ERDRE - CARQUEFOU;635;595;594;1824
2025;TAE;36;2;D2;H;CL;Arc Classique Homme 2025;72;CIE ARCHERS DU BELINOIS - LAIGNÉ SAINT GERVAIS;614;613;593;1820
2025;TAE;39;3;D2;H;CL;Arc Classique Homme 2025;44;LES ARCHERS MONTOIRINS - MONTOIR DE BRETAGNE;631;605;580;1816
2025;TAE;42;4;DR;H;CL;Arc Classique Homme 2025;53;CIE ST GEORGES DE LAVAL - LAVAL;611;604;592;1807
2025;TAE;49;5;DR;H;CL;Arc Classique Homme 2025;49;LES ARCHERS DE L'AUBANCE - MURS ERIGNE;604;597;597;1798
2025;TAE;55;6;DR ;H;CL;Arc Classique Homme 2025;49;ARC ECOUFLANT - ECOUFLANT;621;590;573;1784
2025;TAE;58;7;DR;H;CL;Arc Classique Homme 2025;49;TIR A L ARC CHOLETAIS - CHOLET TAC;607;605;568;1780
2025;TAE;74;8;DR;H;CL;Arc Classique Homme 2025;44;ARCHERS D'ORVAULT - ORVAULT;604;582;573;1759
2025;TAE;79;9;DR ;H;CL;Arc Classique Homme 2025;85;L'ARCHER CLUB D'AIZENAY - AIZENAY;625;573;548;1746
2025;TAE;87;10;;H;CL;Arc Classique Homme 2025;85;LES ARCHERS DE LA DIGUE - MONTAIGU;610;568;547;1725
2025;TAE;96;11;DR ;H;CL;Arc Classique Homme 2025;85;TIR ARC FONTENAISIEN - FONTENAY LE COMTE;588;579;541;1708
2025;TAE;129;12;;H;CL;Arc Classique Homme 2025;72;VSF TIR A L'ARC - LA FERTE BERNARD;555;546;535;1636
2025;TAE;132;13;;H;CL;Arc Classique Homme 2025;44;ARCHERS NANTAIS - NANTES;554;542;536;1632
2025;TAE;135;14;DR ;H;CL;Arc Classique Homme 2025;49;CIE DES ARCHERS DU S.O CANDEEN - CANDE;562;559;509;1630
2025;TAE;147;15;;H;CL;Arc Classique Homme 2025;72;COMPAGNIE D'ARC DE LA FLECHE - LA FLECHE;619;576;416;1611
2025;TAE;159;16;;H;CL;Arc Classique Homme 2025;49;LA FLECHE MACAIROISE - ST MACAIRE EN MAUGES;559;550;481;1590
2025;TAE;171;17;;H;CL;Arc Classique Homme 2025;49;S G T A - TIR A L'ARC - ANGERS;617;514;443;1574
2025;TAE;200;18;;H;CL;Arc Classique Homme 2025;49;ARCHERS DU VAL D'AUTHION - MAZE;543;472;425;1440
2025;TAE;206;19;;H;CL;Arc Classique Homme 2025;44;CIE LES FLECHES DONGEOISES - DONGES;508;487;437;1432
2025;TAE;263;20;;H;CL;Arc Classique Homme 2025;44;COMPAGNIE DES ARCHERS DU BRIVET - PONTCHATEAU;577;401;146;1124
2025;TAE;267;21;;H;CL;Arc Classique Homme 2025;85;LES ARCHERS SABLAIS - LES SABLES D'OLONNE;549;406;127;1082
2025;TAE;28;1;D2;F;CL;Arc Classique Femme 2025;85;TIR ARC FONTENAISIEN - FONTENAY LE COMTE;559;558;557;1674
2025;TAE;42;2;D2;F;CL;Arc Classique Femme 2025;44;ARCHERS DE L'ERDRE - CARQUEFOU;583;548;487;1618
2025;TAE;49;3;DR;F;CL;Arc Classique Femme 2025;44;ARCHERS NANTAIS - NANTES;527;526;519;1572
2025;TAE;64;4;DR ;F;CL;Arc Classique Femme 2025;49;LES ARCHERS DE L'AUBANCE - MURS ERIGNE;588;451;449;1488
2025;TAE;89;5;D2;F;CL;Arc Classique Femme 2025;85;LES CARQUOIS DE GRASLA - LA RABATELIERE;475;407;396;1278
2025;TAE;27;1;;F;CL;U18/U21 Fille 2025;44;ARCHERS DE L'ERDRE - CARQUEFOU;583;487;349;1419
2025;TAE;36;1;;X;CL;Double Mixte Jeune 2025;85;LES ARCHERS SABLAIS - LES SABLES D'OLONNE;601;562;0;1163
2025;TAE;38;2;;X;CL;Double Mixte Jeune 2025;85;LES ARCHERS DE LA DIGUE - MONTAIGU;601;541;0;1142
2025;TAE;51;3;;X;CL;Double Mixte Jeune 2025;53;CIE ST GEORGES DE LAVAL - LAVAL;555;539;0;1094
2025;TAE;58;4;;X;CL;Double Mixte Jeune 2025;44;ARCHERS THOUAREENS - THOUARE SUR LOIRE;560;500;0;1060
2025;TAE;70;5;;X;CL;Double Mixte Jeune 2025;85;TIR ARC FONTENAISIEN - FONTENAY LE COMTE;558;453;0;1011
2025;TAE;76;6;;X;CL;Double Mixte Jeune 2025;85;LES CARQUOIS DE GRASLA - LA RABATELIERE;510;462;0;972
2025;TAE;86;7;;X;CL;Double Mixte Jeune 2025;44;ARCHERS NANTAIS - NANTES;447;417;0;864
2025;TAE;91;8;;X;CL;Double Mixte Jeune 2025;49;ARCHERS DU VAL D'AUTHION - MAZE;536;297;0;833
2025;TAE;96;9;;X;CL;Double Mixte Jeune 2025;49;LA FLECHE AU COEUR DES MAUGES - BEAUPREAU;596;173;0;769
2025;TAE;102;10;;X;CL;Double Mixte Jeune 2025;53;CLUB ATHLETIQUE EVRONNAIS - EVRON;571;145;0;716
2025;TAE;110;11;;X;CL;Double Mixte Jeune 2025;44;ARCHERS DE LA MEE - CHATEAUBRIANT;501;176;0;677
2025;TAE;125;12;;X;CL;Double Mixte Jeune 2025;44;ARCHERS D'ORVAULT - ORVAULT;359;119;0;478
2025;TAE;130;13;;X;CL;Double Mixte Jeune 2025;85;L'ARCHER CLUB D'AIZENAY - AIZENAY;175;157;0;332
2025;TAE;19;1;;X;CL;Double Mixte Arc Classique 2025;72;COMPAGNIE D'ARC DE LA FLECHE - LA FLECHE;622;619;0;1241
2025;TAE;25;2;;X;CL;Double Mixte Arc Classique 2025;44;ARCHERS DE L'ERDRE - CARQUEFOU;635;583;0;1218
2025;TAE;30;3;;X;CL;Double Mixte Arc Classique 2025;49;LES ARCHERS DE L'AUBANCE - MURS ERIGNE;604;588;0;1192
2025;TAE;42;4;;X;CL;Double Mixte Arc Classique 2025;72;CIE ARCHERS DU BELINOIS - LAIGNÉ SAINT GERVAIS;614;562;0;1176
2025;TAE;59;5;;X;CL;Double Mixte Arc Classique 2025;44;ARCHERS D'ORVAULT - ORVAULT;604;543;0;1147
2025;TAE;60;6;;X;CL;Double Mixte Arc Classique 2025;85;TIR ARC FONTENAISIEN - FONTENAY LE COMTE;588;559;0;1147
2025;TAE;61;7;;X;CL;Double Mixte Arc Classique 2025;53;CIE ST GEORGES DE LAVAL - LAVAL;611;535;0;1146
2025;TAE;79;8;;X;CL;Double Mixte Arc Classique 2025;49;ARCHERS DU VAL D'AUTHION - MAZE;582;543;0;1125
2025;TAE;102;9;;X;CL;Double Mixte Arc Classique 2025;85;L'ARCHER CLUB D'AIZENAY - AIZENAY;625;469;0;1094
2025;TAE;110;10;;X;CL;Double Mixte Arc Classique 2025;44;ARCHERS NANTAIS - NANTES;554;527;0;1081
2025;TAE;120;11;;X;CL;Double Mixte Arc Classique 2025;44;ARCHERS THOUAREENS - THOUARE SUR LOIRE;564;500;0;1064
2025;TAE;141;12;;X;CL;Double Mixte Arc Classique 2025;85;LES ARCHERS SABLAIS - LES SABLES D'OLONNE;549;437;0;986
2025;TAE;179;13;;X;CL;Double Mixte Arc Classique 2025;49;TIR A L ARC CHOLETAIS - CHOLET TAC;607;147;0;754
2025;TAE;187;14;;X;CL;Double Mixte Arc Classique 2025;44;COMPAGNIE DES ARCHERS DU BRIVET - PONTCHATEAU;577;149;0;726
2025;TAE;216;15;;X;CL;Double Mixte Arc Classique 2025;53;TIR A L'ARC CHATEAU GONTIER - CHATEAU GONTIER;388;99;0;487
2025;TAE;36;1;DR;H;CO;Arc à Poulies Homme 2025;44;LES FLECHES TURBALLAISES - LA TURBALLE;676;670;668;2014
2025;TAE;38;2;;H;CO;Arc à Poulies Homme 2025;44;ARCHERS DU GOTHA - SAINT GEREON;680;666;663;2009
2025;TAE;39;3;DR;H;CO;Arc à Poulies Homme 2025;85;LES GARNA'ARCHERS - LA GARNACHE;691;674;642;2007
2025;TAE;44;4;;H;CO;Arc à Poulies Homme 2025;49;TIR A L ARC CHOLETAIS - CHOLET TAC;688;676;638;2002
2025;TAE;58;5;;H;CO;Arc à Poulies Homme 2025;49;JEANNE D'ARC DE SAUMUR TIR A L'ARC - SAUMUR;682;663;631;1976
